epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,141.096,0.98701,2.28253,1.26672,0.65747,0.5995,0.64471,0.42551,1.10758,1.73708,1.32214,0.00998069,0.0033269,0.00998069,0.0033269,0.00998069,0.0033269,0.00998069,0.0033269
2,259.636,1.10937,1.75758,1.3598,0.50457,0.44092,0.43543,0.25799,1.32507,2.10136,1.51498,0.0197829,0.0065943,0.0197829,0.0065943,0.0197829,0.0065943,0.0197829,0.0065943
3,357.11,1.26134,1.94198,1.47655,0.34244,0.28523,0.22802,0.11171,1.66378,2.81911,1.92067,0.0293871,0.00979569,0.0293871,0.00979569,0.0293871,0.00979569,0.0293871,0.00979569
4,456.865,1.34315,2.07378,1.56306,0.42133,0.37045,0.34284,0.19271,1.46336,2.10479,1.71647,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,555.429,1.27488,1.88445,1.51263,0.49906,0.39054,0.3981,0.23908,1.3799,2.07017,1.60357,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,652.736,1.22602,1.7583,1.46876,0.51019,0.42401,0.43009,0.25328,1.35372,1.88111,1.58946,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,750.538,1.19013,1.66438,1.43805,0.57739,0.50753,0.54487,0.3474,1.23901,1.50621,1.46924,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,844.549,1.16853,1.61639,1.4251,0.59335,0.54478,0.56459,0.3646,1.20477,1.47766,1.43273,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,940.742,1.13958,1.55537,1.40625,0.65449,0.54992,0.59873,0.39218,1.19731,1.40236,1.42368,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1036.53,1.12344,1.5162,1.39036,0.6699,0.57974,0.63014,0.42015,1.14972,1.30177,1.38393,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1135.98,1.10835,1.47429,1.37802,0.64446,0.57399,0.6285,0.42509,1.12366,1.27233,1.35787,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1235.18,1.09533,1.436,1.36588,0.68935,0.56749,0.64279,0.43133,1.12419,1.27476,1.36685,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1333.2,1.08328,1.41145,1.35618,0.70885,0.5989,0.67253,0.46069,1.0955,1.19572,1.33007,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1430.65,1.06896,1.37844,1.34303,0.72794,0.62769,0.69671,0.47872,1.07746,1.12787,1.31486,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1527.58,1.05964,1.36337,1.33993,0.72093,0.63923,0.71405,0.49691,1.05616,1.10397,1.29116,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1624.99,1.05274,1.33669,1.33248,0.73256,0.63223,0.70807,0.49093,1.07963,1.11101,1.3093,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1721.01,1.04284,1.31879,1.32534,0.74324,0.63099,0.71112,0.49366,1.06841,1.10071,1.3045,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1816.75,1.03832,1.30828,1.318,0.72936,0.64886,0.72199,0.5066,1.03516,1.08007,1.2734,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1912.9,1.03138,1.29403,1.3119,0.73981,0.66608,0.73858,0.52244,1.01919,1.04738,1.26267,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,2007.32,1.02315,1.26882,1.30657,0.758,0.66403,0.74213,0.53128,1.00494,1.01245,1.24617,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,2104.5,1.01691,1.25152,1.30353,0.76861,0.67752,0.76186,0.54396,1.00323,0.97756,1.24764,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,2199.97,1.01371,1.24122,1.29765,0.77425,0.69026,0.76811,0.55305,0.9868,0.95863,1.23377,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,2295.24,1.0025,1.2239,1.29069,0.77653,0.68308,0.76623,0.55139,0.99372,0.97116,1.23395,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,2391.71,0.99921,1.21573,1.28835,0.78773,0.69063,0.7766,0.56212,0.97272,0.92974,1.22062,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,2487.74,0.99665,1.20004,1.28067,0.77625,0.69352,0.77855,0.56535,0.97549,0.92433,1.21559,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,2583.48,0.99529,1.19569,1.27988,0.77173,0.70735,0.78216,0.567,0.97188,0.92214,1.2151,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,2678.91,0.98142,1.18088,1.27233,0.7889,0.70727,0.7862,0.57635,0.95517,0.89866,1.20317,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,2774.14,0.9797,1.17665,1.27261,0.78614,0.71004,0.78764,0.57799,0.95173,0.89496,1.19992,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,2868.57,0.97786,1.16231,1.27099,0.79121,0.70999,0.79327,0.58254,0.95111,0.8924,1.20098,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,2962.84,0.97266,1.15271,1.26916,0.80119,0.71349,0.79823,0.58743,0.94668,0.88213,1.19771,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,3061.15,0.97024,1.13639,1.26254,0.79556,0.71834,0.7989,0.59134,0.93689,0.87802,1.18895,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,3158.66,0.96195,1.12982,1.2573,0.8125,0.71557,0.80512,0.59559,0.93915,0.86336,1.1884,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3256.29,0.96345,1.12469,1.25522,0.79202,0.73893,0.80781,0.59976,0.93696,0.85217,1.18421,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3353.62,0.95501,1.11737,1.25229,0.81187,0.72413,0.8132,0.60229,0.93785,0.84426,1.18721,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3449.99,0.95026,1.10543,1.24808,0.80719,0.73086,0.81384,0.60186,0.93566,0.83966,1.18645,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3543.88,0.94748,1.10231,1.24696,0.80309,0.73516,0.81136,0.60436,0.92827,0.83099,1.17856,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3640.73,0.95161,1.09314,1.24801,0.8042,0.73469,0.81417,0.60744,0.9206,0.82657,1.17412,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,3736.81,0.94098,1.08641,1.24338,0.8002,0.73538,0.81318,0.60788,0.92155,0.83129,1.17426,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,3833.76,0.94097,1.06868,1.23949,0.80923,0.73783,0.81777,0.61237,0.91857,0.8193,1.17214,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,3928.98,0.93586,1.06584,1.23707,0.80655,0.73905,0.81752,0.61338,0.91662,0.81619,1.17105,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,4018.95,0.93294,1.06264,1.23573,0.80837,0.74208,0.81759,0.61261,0.91595,0.81165,1.16822,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,4113.17,0.92518,1.04559,1.23154,0.81228,0.73712,0.81815,0.61484,0.91185,0.81024,1.16434,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,4207.85,0.923,1.04647,1.22887,0.81669,0.74209,0.82133,0.61792,0.90783,0.80426,1.16218,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,4302.77,0.92003,1.04143,1.22885,0.81339,0.74302,0.82462,0.62147,0.90864,0.80095,1.16297,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,4396.77,0.91982,1.0406,1.22647,0.81747,0.74542,0.8258,0.62313,0.90592,0.79627,1.15953,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,4491.85,0.91977,1.03072,1.22319,0.8083,0.74746,0.82639,0.62296,0.90571,0.79285,1.1584,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,4589.16,0.91849,1.0242,1.22459,0.81414,0.74433,0.82663,0.62281,0.90552,0.78987,1.15796,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,4685.67,0.91152,1.00762,1.21596,0.82425,0.74264,0.82684,0.62223,0.90645,0.78649,1.15747,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,4782.19,0.90674,1.00487,1.21516,0.8191,0.74854,0.82852,0.62351,0.90609,0.78392,1.15737,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,4877.34,0.90534,1.00032,1.21349,0.82135,0.74764,0.82917,0.62536,0.9037,0.78146,1.15539,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,4973.36,0.90316,0.99316,1.21165,0.82418,0.7465,0.82884,0.62525,0.90091,0.77993,1.15316,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,5068.79,0.89779,0.99038,1.21012,0.82661,0.74476,0.82917,0.62548,0.89971,0.77893,1.15218,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,5162.63,0.8952,0.98559,1.20672,0.82215,0.74938,0.83067,0.62685,0.89776,0.77577,1.15111,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,5258.01,0.88968,0.97295,1.20378,0.81945,0.75392,0.83191,0.62907,0.89546,0.7737,1.14912,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,5353.66,0.88705,0.96906,1.2034,0.82826,0.74708,0.83238,0.6301,0.89363,0.76985,1.14802,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
