epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,824.47,3.73921,9.7144,4.19021,0.35228,0.00837,0.00079,0.00018,3.43398,9.59527,4.08994,0.00598842,0.00199614,0.00598842,0.00199614,0.00598842,0.00199614,0.00598842,0.00199614
2,1041.08,3.09164,8.38867,3.38623,0.40801,0.0543,0.02026,0.00633,2.61908,7.92958,3.03962,0.0118697,0.00395658,0.0118697,0.00395658,0.0118697,0.00395658,0.0118697,0.00395658
3,1152.13,2.22484,6.58695,2.44723,0.33935,0.17394,0.11331,0.05133,2.17765,6.08393,2.47757,0.0176322,0.00587742,0.0176322,0.00587742,0.0176322,0.00587742,0.0176322,0.00587742
4,1399.42,1.98985,5.86222,2.20464,0.21784,0.1964,0.12396,0.05827,2.11493,5.96718,2.38448,0.023276,0.00775865,0.023276,0.00775865,0.023276,0.00775865,0.023276,0.00775865
5,1616.65,1.90209,5.5041,2.09289,0.23252,0.22344,0.15766,0.07384,2.05708,5.7137,2.3095,0.0288009,0.00960029,0.0288009,0.00960029,0.0288009,0.00960029,0.0288009,0.00960029
6,1771.47,1.82684,5.22864,1.99101,0.30345,0.30049,0.24638,0.13201,1.83873,4.93955,2.03263,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1971.73,1.74159,4.86312,1.90165,0.34885,0.32908,0.28464,0.15591,1.78449,4.543,1.9902,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2278.98,1.69052,4.66363,1.86164,0.42151,0.39862,0.37415,0.21057,1.71547,4.16422,1.89403,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2385.52,1.63484,4.45532,1.81518,0.46972,0.38854,0.39067,0.22301,1.70303,3.9937,1.88625,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2481.53,1.60136,4.30596,1.77904,0.47924,0.43494,0.42681,0.24998,1.64467,3.77138,1.8283,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2574.03,1.56985,4.16835,1.74509,0.52319,0.42993,0.45029,0.26701,1.59256,3.63064,1.7805,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2671.16,1.5464,4.02627,1.7154,0.56209,0.46903,0.49797,0.29981,1.56147,3.42871,1.7318,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2784.94,1.52008,3.94266,1.69215,0.57244,0.46605,0.50499,0.30595,1.55172,3.35673,1.71894,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2992.08,1.49775,3.83516,1.67342,0.56423,0.50042,0.5259,0.31999,1.53761,3.27862,1.69306,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,3173.89,1.47768,3.7703,1.65767,0.56271,0.50646,0.54003,0.33629,1.49669,3.16954,1.65559,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,3306.7,1.46495,3.68134,1.64081,0.60959,0.51912,0.56168,0.35163,1.48229,3.04661,1.64881,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,3435.41,1.44779,3.63035,1.62017,0.61977,0.53731,0.58109,0.36604,1.45153,2.94451,1.62286,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,3679.5,1.44129,3.57129,1.61238,0.61886,0.5463,0.58275,0.37041,1.43977,2.91665,1.60944,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,3792.17,1.42545,3.53447,1.60196,0.63436,0.53087,0.58786,0.37509,1.43034,2.89037,1.59556,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,3883.6,1.41622,3.46264,1.59525,0.65049,0.55798,0.612,0.39292,1.40316,2.81005,1.56625,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,3978.66,1.40451,3.40434,1.58502,0.63867,0.57808,0.62152,0.40204,1.39675,2.74506,1.57073,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,4071.75,1.39171,3.36112,1.57253,0.66325,0.57935,0.63302,0.41215,1.38486,2.68113,1.55386,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,136.962,1.38422,3.31463,1.5648,0.67793,0.56146,0.63434,0.41582,1.37082,2.6524,1.53937,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,358.668,1.37204,3.28679,1.55648,0.68956,0.58155,0.65336,0.43135,1.35277,2.60114,1.52938,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,456.138,1.37297,3.27003,1.5515,0.69441,0.58569,0.6538,0.43303,1.34868,2.549,1.51873,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,556.084,1.35188,3.20911,1.53772,0.68755,0.60332,0.66808,0.44473,1.34075,2.50997,1.50599,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
