epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,132.992,3.23832,4.885,4.08159,0.00253,0.12842,0.00131,0.00027,2.82282,4.92265,3.5084,0.00998069,0.0033269,0.00998069,0.0033269,0.00998069,0.0033269,0.00998069,0.0033269
2,248.217,2.27524,4.01229,2.82681,0.33232,0.10072,0.04317,0.01726,2.02918,3.75978,2.64545,0.0199758,0.0066586,0.0199758,0.0066586,0.0199758,0.0066586,0.0199758,0.0066586
3,345.257,1.80791,3.32069,2.25308,0.25302,0.16087,0.06905,0.0304,1.87008,3.8952,2.34116,0.0299514,0.0099838,0.0299514,0.0099838,0.0299514,0.0099838,0.0299514,0.0099838
4,442.479,1.66128,2.94486,2.05605,0.2126,0.23931,0.14386,0.07012,1.71147,2.89157,2.15156,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
5,541.832,1.55801,2.67501,1.93944,0.28271,0.27057,0.18297,0.09356,1.69247,2.65746,2.12242,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
6,640.37,1.49335,2.50541,1.86284,0.34205,0.34751,0.29353,0.16406,1.53496,2.29052,1.9335,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
7,737.919,1.4403,2.36871,1.80706,0.3699,0.37035,0.31919,0.1822,1.49503,2.20799,1.87052,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
8,837.984,1.41258,2.29443,1.78522,0.42737,0.38092,0.36392,0.20881,1.44421,2.11596,1.82434,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
9,936.06,1.37442,2.19697,1.74731,0.46229,0.38012,0.38618,0.22592,1.43083,1.99659,1.81044,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
10,1033.49,1.35372,2.14131,1.71997,0.48373,0.42709,0.42655,0.25794,1.39914,1.8578,1.76571,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
