epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,135.515,3.23036,4.86601,4.0653,0.00165,0.12497,0.00094,0.00019,2.7864,4.79654,3.53915,0.00998069,0.0033269,0.00998069,0.0033269,0.00998069,0.0033269,0.00998069,0.0033269
2,253.066,2.25433,3.97938,2.78855,0.23906,0.09298,0.04283,0.01695,2.02251,3.71635,2.61069,0.0199758,0.0066586,0.0199758,0.0066586,0.0199758,0.0066586,0.0199758,0.0066586
3,353.218,1.80935,3.29668,2.24277,0.15017,0.1843,0.06321,0.02681,1.90001,4.62308,2.36832,0.0299514,0.0099838,0.0299514,0.0099838,0.0299514,0.0099838,0.0299514,0.0099838
4,452.088,1.65631,2.92276,2.04133,0.22202,0.2551,0.15621,0.07785,1.68837,2.73009,2.11864,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
5,550.834,1.5558,2.66496,1.92612,0.28039,0.27237,0.20923,0.10759,1.67043,2.59128,2.07983,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
6,647.606,1.49251,2.50063,1.85568,0.31286,0.34178,0.27637,0.1531,1.52987,2.39932,1.92627,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
7,746.332,1.44599,2.36256,1.80317,0.38045,0.35777,0.32126,0.18139,1.47752,2.20827,1.86993,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
8,839.602,1.41541,2.28542,1.77692,0.42368,0.40034,0.36646,0.21199,1.44646,2.06371,1.81031,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
9,933.803,1.37541,2.19512,1.73974,0.46963,0.38902,0.39541,0.23058,1.45092,2.00522,1.82654,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
10,1030.25,1.35666,2.13502,1.71666,0.46911,0.42862,0.41594,0.2495,1.38623,1.85788,1.7556,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
11,1126.57,1.33241,2.06682,1.69141,0.51671,0.446,0.45487,0.27529,1.37452,1.80911,1.733,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
12,1221.55,1.31745,2.00944,1.67427,0.52558,0.47021,0.48336,0.29642,1.34319,1.74358,1.69522,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
13,1318.22,1.29872,1.97322,1.65138,0.53171,0.46659,0.48683,0.3014,1.3303,1.69768,1.67531,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
14,1416.56,1.28353,1.92591,1.64008,0.54711,0.49692,0.51706,0.32546,1.30385,1.66405,1.65857,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
15,1511.62,1.26432,1.89615,1.62041,0.57796,0.49517,0.53048,0.33049,1.30402,1.6049,1.6371,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
16,1606.4,1.25754,1.85865,1.6098,0.5983,0.51011,0.55219,0.34974,1.26206,1.53716,1.60545,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
17,1703.04,1.2443,1.83531,1.59481,0.60702,0.53159,0.5711,0.36589,1.25227,1.50945,1.58945,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
18,1798.22,1.23698,1.80173,1.58664,0.6122,0.53064,0.57816,0.37515,1.23355,1.47846,1.58471,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
19,1894.92,1.22337,1.78286,1.575,0.62157,0.53,0.57799,0.37395,1.22269,1.45955,1.56713,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
20,1994.06,1.21718,1.74784,1.56722,0.64999,0.53929,0.59784,0.38932,1.21316,1.42379,1.54642,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
21,2090.85,1.2074,1.73148,1.55868,0.63647,0.55085,0.60496,0.39825,1.19883,1.39062,1.53884,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
22,2185.86,1.19952,1.71285,1.54948,0.64441,0.56059,0.61582,0.40674,1.18938,1.37048,1.53267,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
