epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,625.339,1.8407,3.33618,2.00094,0.25288,0.27025,0.19242,0.10165,1.56925,2.59858,1.80555,0.00999034,0.00333011,0.00999034,0.00333011,0.00999034,0.00333011,0.00999034,0.00333011
2,934.755,1.54235,2.56787,1.73248,0.30765,0.31827,0.25555,0.13662,1.54574,2.36912,1.76846,0.0199882,0.00666272,0.0199882,0.00666272,0.0199882,0.00666272,0.0199882,0.00666272
3,1318.93,1.53813,2.49742,1.74991,0.29852,0.31009,0.24009,0.12788,1.5831,2.42313,1.85689,0.0299773,0.00999244,0.0299773,0.00999244,0.0299773,0.00999244,0.0299773,0.00999244
4,1568.09,1.48944,2.35447,1.71423,0.42856,0.37778,0.34963,0.19283,1.44217,2.05305,1.71482,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
5,1919.14,1.39545,2.14226,1.63873,0.48488,0.44318,0.42681,0.25736,1.32576,1.73951,1.59868,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264
6,2167.4,1.33227,1.99228,1.58325,0.53205,0.49234,0.50469,0.31439,1.25166,1.58984,1.51086,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
7,2416.9,1.29073,1.88937,1.54861,0.59175,0.51602,0.54885,0.35261,1.20143,1.45574,1.46833,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
8,2669.23,1.24063,1.79328,1.51377,0.61061,0.55664,0.59252,0.38752,1.16217,1.34368,1.4267,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469
9,2919.51,1.21542,1.72553,1.48868,0.63248,0.55679,0.60393,0.39757,1.14297,1.33181,1.40951,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068
10,3167.9,1.19955,1.6736,1.47555,0.64338,0.57119,0.62973,0.42092,1.12603,1.2837,1.394,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
11,3440.97,1.16823,1.61138,1.45246,0.65803,0.60203,0.65538,0.44304,1.10212,1.22157,1.3802,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183
12,3691.66,1.16198,1.58957,1.44247,0.68954,0.61195,0.67803,0.46564,1.06672,1.15475,1.34214,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922
13,3941.94,1.13644,1.53932,1.4258,0.6923,0.63258,0.69474,0.47987,1.05475,1.1149,1.32198,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
14,4195.54,1.12331,1.49814,1.41336,0.71551,0.62881,0.7063,0.49252,1.04107,1.09152,1.31087,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765
15,4451.27,1.10504,1.47567,1.39969,0.7056,0.64578,0.71701,0.50072,1.02552,1.06488,1.30799,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873
16,4702.22,1.10046,1.44358,1.39567,0.71603,0.65459,0.72286,0.50876,1.01724,1.04119,1.28964,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
17,4973.41,1.08635,1.41084,1.38136,0.74417,0.67078,0.74289,0.52484,1.00534,1.01363,1.27843,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466
18,5222.05,1.07133,1.38255,1.36971,0.73809,0.66881,0.73779,0.53173,0.9903,0.99128,1.27014,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955
19,5469.58,1.06002,1.35904,1.36206,0.7427,0.669,0.74771,0.53909,0.97789,0.97576,1.25654,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
20,5719.23,1.06277,1.35387,1.36248,0.74972,0.69024,0.76238,0.55169,0.9669,0.95062,1.2502,0.0288397,0.00961322,0.0288397,0.00961322,0.0288397,0.00961322,0.0288397,0.00961322
21,5966.84,1.04998,1.32864,1.35171,0.75828,0.696,0.76987,0.55989,0.96161,0.93315,1.24319,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205
22,6214.67,1.03554,1.31195,1.34359,0.75452,0.70158,0.77209,0.56696,0.95371,0.91811,1.23757,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
