epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.4749,0.72085,0.64943,1.08771,0.82848,0.77808,0.8386,0.64694,0.8736,0.69115,1.17579,0.00329114,0.00329114,0.0703797
2,103.746,0.73245,0.64086,1.08424,0.82816,0.77922,0.83447,0.63861,0.88665,0.71327,1.18877,0.00662375,0.00662375,0.040379
3,143.88,0.74892,0.65488,1.09086,0.8159,0.73766,0.80458,0.6046,0.92819,0.79658,1.22303,0.00995348,0.00995348,0.0103754
4,183.742,0.77728,0.71667,1.107,0.81529,0.73774,0.81269,0.60777,0.93721,0.77807,1.221,0.00999023,0.00999023,0.00999023
5,223.406,0.79222,0.72627,1.11878,0.80344,0.73794,0.79864,0.59386,0.95288,0.80802,1.23211,0.00998264,0.00998264,0.00998264
6,263.276,0.77736,0.71708,1.11376,0.80508,0.70919,0.78277,0.58011,0.96026,0.84592,1.24909,0.00997288,0.00997288,0.00997288
7,303.131,0.79992,0.73405,1.12311,0.80836,0.72202,0.79279,0.59059,0.95463,0.82121,1.23608,0.00996097,0.00996097,0.00996097
8,343.013,0.80438,0.74069,1.12556,0.80336,0.72908,0.79208,0.58442,0.96469,0.83022,1.24627,0.0099469,0.0099469,0.0099469
9,382.774,0.80154,0.74123,1.13236,0.80722,0.73346,0.79597,0.59109,0.95824,0.82013,1.25086,0.00993068,0.00993068,0.00993068
10,422.43,0.7832,0.71995,1.11632,0.79622,0.71639,0.787,0.58363,0.96071,0.85036,1.2498,0.00991232,0.00991232,0.00991232
11,463.636,0.77003,0.71259,1.10585,0.81085,0.70734,0.78664,0.58426,0.96267,0.84801,1.24998,0.00989183,0.00989183,0.00989183
12,508.367,0.80516,0.73828,1.12826,0.79073,0.70723,0.77182,0.56563,0.98221,0.8757,1.26602,0.00986922,0.00986922,0.00986922
13,553.06,0.78484,0.71819,1.11437,0.80217,0.69644,0.76607,0.56044,0.99061,0.89897,1.28434,0.00984449,0.00984449,0.00984449
14,598.063,0.78209,0.73725,1.11389,0.79616,0.71228,0.77598,0.56915,0.98669,0.88418,1.27653,0.00981765,0.00981765,0.00981765
15,639.87,0.76083,0.70246,1.10667,0.79255,0.71348,0.77466,0.57181,0.97864,0.86698,1.26811,0.00978873,0.00978873,0.00978873
16,679.691,0.76715,0.71924,1.1115,0.80391,0.71281,0.77852,0.57334,0.96939,0.85374,1.25927,0.00975773,0.00975773,0.00975773
17,719.301,0.77504,0.72457,1.11276,0.79637,0.70635,0.77776,0.57289,0.98677,0.87329,1.26453,0.00972466,0.00972466,0.00972466
18,759.162,0.77055,0.72746,1.1121,0.80054,0.71584,0.78038,0.57909,0.96889,0.85118,1.25553,0.00968955,0.00968955,0.00968955
19,798.882,0.7557,0.70006,1.1039,0.79511,0.7043,0.76993,0.56744,0.98363,0.88819,1.27496,0.00965239,0.00965239,0.00965239
20,838.715,0.7774,0.73056,1.11356,0.81512,0.71002,0.78089,0.57724,0.97329,0.85658,1.26287,0.00961322,0.00961322,0.00961322
21,878.872,0.76832,0.71587,1.10913,0.77644,0.707,0.7674,0.56288,0.98718,0.90038,1.27558,0.00957205,0.00957205,0.00957205
22,918.689,0.75834,0.69951,1.10352,0.80809,0.7107,0.78849,0.57588,0.98969,0.84281,1.27855,0.00952889,0.00952889,0.00952889
23,958.743,0.75332,0.68163,1.09485,0.80128,0.69968,0.77089,0.56121,0.99711,0.90207,1.28367,0.00948377,0.00948377,0.00948377
24,998.175,0.75734,0.70195,1.1046,0.80118,0.71379,0.7789,0.57047,0.99055,0.87802,1.28093,0.00943671,0.00943671,0.00943671
25,1038.13,0.75245,0.68942,1.09604,0.77748,0.70364,0.76385,0.55722,1.00169,0.89992,1.28428,0.00938772,0.00938772,0.00938772
26,1077.77,0.76072,0.70339,1.09909,0.80851,0.70264,0.77903,0.57107,0.98753,0.87583,1.27396,0.00933683,0.00933683,0.00933683
27,1117.4,0.75915,0.70706,1.10405,0.79117,0.70293,0.77354,0.56584,0.99177,0.87416,1.28235,0.00928405,0.00928405,0.00928405
28,1156.94,0.73977,0.68122,1.09095,0.79215,0.70734,0.77063,0.56452,0.99802,0.88942,1.29117,0.00922942,0.00922942,0.00922942
29,1197.05,0.73596,0.67837,1.09097,0.79897,0.70633,0.77266,0.56451,1.00244,0.88826,1.2974,0.00917296,0.00917296,0.00917296
30,1236.87,0.74513,0.69092,1.09434,0.81055,0.69852,0.76977,0.56585,0.98777,0.88718,1.27917,0.00911469,0.00911469,0.00911469
31,1276.49,0.7274,0.66109,1.07893,0.78718,0.70262,0.76313,0.56083,0.99355,0.91087,1.28308,0.00905463,0.00905463,0.00905463
32,1316.29,0.72759,0.66477,1.08615,0.78757,0.70884,0.77058,0.56679,0.98774,0.89982,1.29097,0.00899282,0.00899282,0.00899282
33,1356.03,0.73947,0.68539,1.09165,0.82026,0.68582,0.76997,0.56424,0.99209,0.90017,1.28597,0.00892928,0.00892928,0.00892928
34,1395.41,0.73278,0.67935,1.08919,0.77103,0.71002,0.75469,0.55097,1.00914,0.91435,1.30694,0.00886404,0.00886404,0.00886404
35,1435.07,0.72217,0.66044,1.08043,0.78175,0.69975,0.76123,0.55271,1.01102,0.91726,1.30734,0.00879713,0.00879713,0.00879713
36,1474.62,0.73165,0.67733,1.08125,0.78939,0.70828,0.77137,0.56269,1.00325,0.8852,1.30212,0.00872857,0.00872857,0.00872857
37,1514.54,0.71467,0.65892,1.07758,0.81405,0.68922,0.7645,0.55739,1.00126,0.90017,1.29308,0.00865839,0.00865839,0.00865839
38,1554.2,0.72483,0.66091,1.07801,0.79987,0.70828,0.77449,0.5654,1.00759,0.88744,1.29683,0.00858664,0.00858664,0.00858664
39,1593.91,0.7099,0.64846,1.07015,0.78287,0.69318,0.75716,0.54897,1.01142,0.91812,1.30575,0.00851333,0.00851333,0.00851333
40,1633.14,0.71929,0.66885,1.08152,0.80719,0.70122,0.77374,0.5596,1.00476,0.89194,1.29984,0.00843851,0.00843851,0.00843851
41,1672.87,0.72019,0.66233,1.078,0.79718,0.70135,0.77305,0.56217,0.99721,0.89013,1.30347,0.0083622,0.0083622,0.0083622
42,1712.51,0.7214,0.66444,1.07772,0.80486,0.70406,0.77262,0.56481,0.98966,0.90203,1.28843,0.00828443,0.00828443,0.00828443
43,1752.19,0.70265,0.63922,1.06982,0.7906,0.7087,0.76612,0.56149,0.99851,0.89503,1.30301,0.00820525,0.00820525,0.00820525
44,1791.62,0.69858,0.64104,1.07174,0.7671,0.71316,0.75996,0.55262,1.00461,0.92441,1.2995,0.00812468,0.00812468,0.00812468
45,1831.3,0.69911,0.64116,1.07717,0.79076,0.69744,0.75972,0.55348,0.99755,0.92872,1.30803,0.00804277,0.00804277,0.00804277
