epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.888805,0.92848,6.25705,1.43704,0.08333,0.01667,0.00792,0.00713,1.75133,34.1185,1.57907,0,0,0
2,1.4671,1.18709,6.45731,1.67404,0.08333,0.01667,0.01583,0.01425,1.74846,36.587,1.5705,1.17822e-06,1.17822e-06,1.17822e-06
3,2.11056,1.27533,6.34213,1.73586,0.16667,0.01667,0.01583,0.01425,1.72058,39.6292,1.55356,2.33288e-06,2.33288e-06,2.33288e-06
4,2.75039,1.24912,5.77865,1.64786,0.16667,0.01667,0.01583,0.01425,1.7259,47.1026,1.55364,3.46397e-06,3.46397e-06,3.46397e-06
5,3.78499,1.13583,6.0055,1.72801,0.16667,0.01667,0.01583,0.01425,1.72658,49.6644,1.55383,4.5715e-06,4.5715e-06,4.5715e-06
6,4.92193,1.12486,6.30692,1.56487,0.16667,0.01667,0.01583,0.01425,1.72756,49.6311,1.54694,5.65548e-06,5.65548e-06,5.65548e-06
7,5.99034,1.11948,6.56225,1.68852,0.16667,0.01667,0.01583,0.01425,1.71869,65.021,1.54446,6.71588e-06,6.71588e-06,6.71588e-06
8,7.08254,1.05393,6.89159,1.80175,0.16667,0.01667,0.01583,0.01425,1.69981,68.0003,1.53171,7.75273e-06,7.75273e-06,7.75273e-06
9,8.08075,1.47022,6.45807,1.77919,0.16667,0.01667,0.01583,0.01425,1.68231,68.4602,1.51991,8.76602e-06,8.76602e-06,8.76602e-06
10,9.1286,0.91451,5.89502,1.44794,0.16667,0.01667,0.01583,0.01425,1.67284,67.3956,1.51767,9.75574e-06,9.75574e-06,9.75574e-06
11,10.1593,1.20381,6.70448,1.73628,0.16667,0.01667,0.01583,0.01425,1.66579,65.1058,1.51479,1.07219e-05,1.07219e-05,1.07219e-05
12,11.1954,1.2195,5.57084,1.67914,0.16667,0.01667,0.01583,0.01425,1.65581,64.9318,1.50969,1.16645e-05,1.16645e-05,1.16645e-05
13,12.2412,1.20036,5.81274,1.62591,0.16667,0.01667,0.01583,0.01425,1.64773,65.2829,1.51031,1.25835e-05,1.25835e-05,1.25835e-05
14,13.2685,1.31153,5.85755,1.68431,0.16667,0.01667,0.01583,0.01425,1.62967,64.5695,1.50485,1.3479e-05,1.3479e-05,1.3479e-05
15,14.2663,1.13083,5.80553,1.71947,0.16667,0.01667,0.01583,0.01425,1.61395,61.9378,1.50005,1.43509e-05,1.43509e-05,1.43509e-05
16,15.2711,1.18177,5.63278,1.5706,0.16667,0.01667,0.01583,0.01425,1.62058,63.1313,1.49626,1.51993e-05,1.51993e-05,1.51993e-05
17,16.3362,0.86942,5.4752,1.43172,0.16667,0.01667,0.01583,0.01425,1.60176,61.0878,1.49116,1.60241e-05,1.60241e-05,1.60241e-05
18,17.3182,0.93517,6.46192,1.56534,0.16667,0.01667,0.01583,0.01425,1.60176,61.0878,1.49116,1.68253e-05,1.68253e-05,1.68253e-05
19,18.3463,0.97527,5.69385,1.64423,0.16667,0.01667,0.01583,0.01425,1.6076,89.1465,1.5055,1.7603e-05,1.7603e-05,1.7603e-05
20,19.3265,1.16975,6.95609,1.67709,0.16667,0.01667,0.01583,0.01425,1.6076,89.1465,1.5055,1.83571e-05,1.83571e-05,1.83571e-05
21,20.3547,1.04984,5.69824,1.50996,0.16667,0.01667,0.01583,0.01425,1.60659,98.7375,1.51238,1.90876e-05,1.90876e-05,1.90876e-05
22,21.6832,1.12998,5.85359,1.72178,0.16667,0.01667,0.01583,0.01425,1.60659,98.7375,1.51238,1.97946e-05,1.97946e-05,1.97946e-05
23,23.1087,0.92325,5.99615,1.59338,0.20833,0.18333,0.05729,0.04327,1.61585,92.258,1.51956,2.0478e-05,2.0478e-05,2.0478e-05
